,Date,Close,Volume, RSI,RSI Condition,MACD Condition,EMA Condition,Close-EMA200 Price Diff,BB Condition, ATR,Trend,Forecasted,Slope,Acceleration,Price Relative Close-EMA200 Price Diff,Price Relative ATR,future_price1,future_price3,future_price5,future_price10,future_price15,future_price30,future_price1 P/L,future_price1 % P/L,future_price3 P/L,future_price3 % P/L,future_price5 P/L,future_price5 % P/L,future_price10 P/L,future_price10 % P/L,future_price15 P/L,future_price15 % P/L,future_price30 P/L,future_price30 % P/L
209,Jan 08 2021,1834.1,60,51.45934609123435,0.0,0,0,37.67021229891088,0,28.3533535484604,1,1844.2560439560427,-0.5239560439561317,-0.2779954111822335,0.020538799574129483,1.5459000898784363,1912.3,1952.7,1893.1,1866.6,1852.3,1872.6,78.20000000000005,0.04263671555531326,118.60000000000014,0.06466386783708639,59.0,0.03216836595605474,32.5,0.017719862602911512,18.200000000000045,0.00992312305763047,38.5,0.02099122185267979
210,Jan 07 2021,1912.3,122,67.65070266181237,0.0,1,1,114.71727486310078,-1,32.94239972357038,1,1860.765934065933,0.9687912087910918,-0.24962250935878091,0.059989162193746164,1.7226585642195462,1906.9,1944.7,1891.0,1879.2,1828.7,1861.1,-5.399999999999864,-0.0028238247136954785,32.40000000000009,0.016942948282173347,-21.299999999999955,-0.011138419704021312,-33.09999999999991,-0.0173089996339486,-83.59999999999991,-0.043716990012027356,-51.200000000000045,-0.026774041729854127
211,Jan 06 2021,1906.9,331,66.01320707978651,0.0,0,1,108.229540784861,-1,34.76079974331536,1,1874.5109890109877,2.2109890109888646,-0.21156671899530632,0.056756799404720226,1.8228957860042665,1952.7,1893.1,1879.7,1885.7,1839.8,1873.5,45.799999999999955,0.024018039750380173,-13.800000000000182,-0.007236876606009849,-27.200000000000045,-0.014263988672714901,-21.200000000000045,-0.011117520583145442,-67.10000000000014,-0.03518800146835185,-33.40000000000009,-0.017515339031936698
212,Jan 05 2021,1952.7,113,72.16678380226782,-1.0,0,1,152.4969085382454,-1,35.54931404736426,1,1900.3175824175828,4.680439560439619,-0.11603526144186671,0.07809541073295714,1.8205210246000032,1944.7,1891.0,1877.2,1887.2,1833.6,1884.5,-8.0,-0.004096891483586829,-61.700000000000045,-0.031597275567163435,-75.5,-0.038664413376350695,-65.5,-0.03354329902186716,-119.10000000000014,-0.06099247196189898,-68.20000000000005,-0.034925999897577734
213,Jan 04 2021,1944.7,154,69.78984044738552,0.0,0,1,143.05912835378535,-1,35.90293447255253,1,1921.2142857142865,6.6114285714286884,0.03159280280158531,0.07356359765196964,1.846193987378646,1893.1,1879.7,1874.7,1856.1,1834.6,1887.3,-51.600000000000136,-0.026533655576695705,-65.0,-0.0334241785365352,-70.0,-0.03599526919319175,-88.60000000000014,-0.0455597264359542,-110.10000000000014,-0.05661541625957738,-57.40000000000009,-0.029516120738417282
214,Dec 31 2020,1893.1,127,56.79585146963094,0.0,0,0,90.54908727563816,0,37.05272486737021,1,1924.5483516483514,6.699780219780162,0.1708653544257873,0.047831116832517125,1.9572513267851783,1891.0,1877.2,1866.6,1852.3,1870.8,1885.7,-2.099999999999909,-0.0011092916380539375,-15.899999999999864,-0.008398922402408675,-26.5,-0.01399820400401458,-40.799999999999955,-0.021551951825048838,-22.299999999999955,-0.011779620727906585,-7.399999999999864,-0.00390893243885683
215,Dec 30 2020,1891.0,444,56.336133371911465,0.0,-1,0,87.56899685498524,0,35.72753023398662,1,1927.7373626373628,6.880219780219781,0.32677067986957153,0.04630830082230843,1.8893458611309688,1879.7,1874.7,1879.2,1828.7,1861.8,1872.6,-11.299999999999955,-0.005975674246430436,-16.299999999999955,-0.008619777895293472,-11.799999999999955,-0.006240084611316739,-62.299999999999955,-0.032945531464833394,-29.200000000000045,-0.015441565309360151,-18.40000000000009,-0.009730301427816019
216,Dec 29 2020,1879.7,343,53.81207964740346,0.0,0,0,75.51010136389095,0,33.982706645844715,1,1926.9560439560441,6.644615384615414,0.4818432556454527,0.04017135785704684,1.8078792704072306,1877.2,1866.6,1885.7,1839.8,1835.9,1860.7,-2.5,-0.0013299994680002127,-13.100000000000136,-0.006969197212321187,6.0,0.0031919987232005105,-39.90000000000009,-0.021226791509283444,-43.799999999999955,-0.023301590679363705,-19.0,-0.010107995956801617
217,Dec 28 2020,1877.2,75,53.24371616452995,0.0,0,0,72.28363269360352,0,33.13394188542723,1,1920.3637362637362,5.406593406593407,0.5783011713561128,0.03850609029064752,1.7650725487655672,1874.7,1879.2,1887.2,1833.6,1836.8,1875.4,-2.5,-0.0013317707223524397,2.0,0.0010654165778819517,10.0,0.005327082889409759,-43.600000000000136,-0.02322608139782662,-40.40000000000009,-0.021521414873215475,-1.7999999999999545,-0.0009588749200937324
218,Dec 23 2020,1874.7,82,52.64490836554966,0.0,0,0,69.08926818918962,0,31.78866032218242,1,1910.0208791208793,3.5951648351648644,0.5700905687718927,0.036853506261903035,1.6956665238268749,1866.6,1885.7,1856.1,1834.6,1825.7,1853.2,-8.100000000000136,-0.00432069131060977,11.0,0.0058676054835440335,-18.600000000000136,-0.00992158745399271,-40.100000000000136,-0.021390089080919685,-49.0,-0.026137515335787058,-21.5,-0.011468501626926975
