,Date,Close,Volume, RSI,RSI Condition,MACD Condition,EMA Condition,Close-EMA200 Price Diff,BB Condition, ATR,Trend,Forecasted,Slope,Acceleration,Price Relative Close-EMA200 Price Diff,Price Relative ATR,future_price1,future_price3,future_price5,future_price10,future_price15,future_price30,future_price1 P/L,future_price1 % P/L,future_price3 P/L,future_price3 % P/L,future_price5 P/L,future_price5 % P/L,future_price10 P/L,future_price10 % P/L,future_price15 P/L,future_price15 % P/L,future_price30 P/L,future_price30 % P/L
209,2015-04-14,219.158997,31719000.0,28.560137559175725,1.0,0,-1,-85.00866711880678,1,9.027203889663417,-1,225.60831838461533,-2.478767243956049,-0.0419104723825623,-0.38788581934789007,4.119020443255367,223.832993,222.882004,222.600006,231.268005,225.807999,236.929001,4.673995999999988,0.021326963820700404,3.7230069999999955,0.016987698661533823,3.441009000000008,0.015700970743172404,12.109007999999989,0.05525216014745673,6.649001999999996,0.0303387134044969,17.770004,0.08108270362270366
210,2015-04-15,223.832993,22562000.0,33.310409005336886,0.0,0,-1,-79.53532115742564,0,8.752688683258887,-1,220.3297339010989,-2.959349841758239,-0.14546015554643216,-0.3553333228110194,3.9103657445436952,228.572998,223.356003,224.626007,226.389999,236.145004,237.604996,4.740005000000025,0.02117652512469431,-0.4769900000000007,-0.002131008452359839,0.7930139999999994,0.0035428825275994925,2.5570060000000012,0.011423722507253438,12.312011000000012,0.05500534498951195,13.772003000000012,0.06152802951618492
211,2015-04-16,228.572998,24805400.0,37.82548796801583,0.0,0,0,-74.05108415585917,0,8.544568348740397,-1,218.1861515274725,-3.0124750439560457,-0.23548625778529134,-0.32397126871416004,3.7382229850003523,222.882004,222.600006,235.268997,219.429993,232.078995,236.153,-5.690994000000018,-0.024897927794603356,-5.972992000000005,-0.026131660573485607,6.6959990000000005,0.029294794479617404,-9.143005000000016,-0.0400003722224443,3.5059969999999794,0.015338631556120986,7.580001999999979,0.03316228104948765
212,2015-04-17,222.882004,20429800.0,34.78081235482541,0.0,0,-1,-78.94862464187054,0,8.43167096668751,-1,215.45358226373637,-3.0773890219780133,-0.3076093154208427,-0.3542171338421317,3.7830200802966174,223.356003,224.626007,234.175995,229.285995,234.929993,236.802002,0.47399899999999207,0.002126681344806968,1.7440029999999922,0.007824781582635052,11.293991000000005,0.05067251190006352,6.403991000000019,0.0287326517397969,12.047989000000001,0.05405545886961785,13.919997999999993,0.06245456228040732
213,2015-04-18,223.356003,12939000.0,35.24831229847607,0.0,0,-1,-77.69378359568276,0,8.075122111924115,-1,213.7830347582417,-3.0111667560439614,-0.3575440516604273,-0.3478473045368866,3.6153593382149283,222.600006,235.268997,236.462006,225.854996,240.358002,233.128006,-0.7559969999999794,-0.0033847176249835534,11.912994000000026,0.05333635022113118,13.106003000000015,0.05867763939167561,2.498993000000013,0.011188385207627542,17.001999000000012,0.07612062703324796,9.772003000000012,0.04375079634640495
214,2015-04-19,222.600006,15021500.0,34.819608441420634,0.0,0,-1,-77.66918576388491,0,7.782613103929535,-1,214.11010113186833,-2.6056723252746967,-0.3583924648327498,-0.3489181656351119,3.496232207617072,224.626007,234.175995,231.268005,225.807999,239.018005,231.947006,2.0260009999999795,0.009101531650452783,11.575988999999993,0.05200354307268074,8.66799899999998,0.03893979679407547,3.2079929999999877,0.014411468614246073,16.41799899999998,0.07375560897334378,9.34699999999998,0.04199011566962842
215,2015-04-20,224.626007,18364700.0,37.02994006150547,0.0,1,0,-74.89051625877167,0,7.539140239363141,-1,215.37094965934068,-2.1435973120879073,-0.31179554629634126,-0.3334009149651655,3.3563078202975585,235.268997,236.462006,226.389999,236.145004,236.121002,234.018005,10.642990000000026,0.047380933945017446,11.835999000000015,0.05269202421427549,1.7639920000000018,0.007853017660595292,11.518997000000013,0.05128078068003948,11.494995000000017,0.05117392751410133,9.391998000000001,0.041811712390008346
216,2015-04-21,235.268997,24978000.0,47.16587223363086,0.0,0,0,-63.60824739052515,0,7.784058936551489,-1,220.2837053846154,-1.317982301098902,-0.23000869767419455,-0.27036391620492667,3.3085782809502473,234.175995,231.268005,219.429993,232.078995,229.781998,235.343994,-1.0930020000000127,-0.004645754493525608,-4.000992000000025,-0.01700603161070145,-15.839004000000017,-0.06732295458376955,-3.190002000000021,-0.01355895609143954,-5.486999000000026,-0.023322235696019163,0.0749969999999962,0.00031877128289876716
217,2015-04-22,234.175995,23847900.0,46.34090614514114,0.0,0,0,-64.05745586425127,0,7.544697512512096,-1,224.04027535164818,-0.7138109912088118,-0.13133659765245867,-0.2735440746787529,3.2218065359398156,236.462006,226.389999,229.285995,234.929993,237.334,240.348007,2.286011000000002,0.009761935675772411,-7.7859960000000115,-0.03324848048579877,-4.889999999999986,-0.020881730426724508,0.7539979999999957,0.003219792020100078,3.158005000000003,0.013485605132157132,6.172011999999995,0.02635629668190369
218,2015-04-23,236.462006,17036000.0,48.37472670221834,0.0,0,0,-61.1568036218209,0,7.239790618761233,-1,228.57089127472548,-0.041024210988989854,-0.016337833266513814,-0.2586326854633082,3.061714116880677,231.268005,219.429993,225.854996,240.358002,243.863007,238.871994,-5.194001000000014,-0.021965478039630663,-17.032013000000006,-0.0720285397561924,-10.607010000000002,-0.04485714292722359,3.8959959999999967,0.0164762029465317,7.401001000000008,0.0312989013550025,2.4099879999999985,0.010191861435870583
