Time,price,volume
2021-10-18 15:00:00 UTC,61967.190354508,158302204.920923
2021-10-18 16:00:00 UTC,62032.4515877044,181824817.112452
2021-10-18 17:00:00 UTC,62003.6933785565,131762356.351294
2021-10-18 18:00:00 UTC,61935.4019872636,79768079.9806963
2021-10-18 19:00:00 UTC,61424.3694282505,158467975.891902
2021-10-18 20:00:00 UTC,61435.8029934458,136671319.427736
2021-10-18 21:00:00 UTC,61669.8548346308,69319745.5267578
2021-10-18 22:00:00 UTC,61877.5385184792,77635080.0868225
2021-10-18 23:00:00 UTC,62048.0629949244,62909371.8555121
2021-10-19 00:00:00 UTC,62176.2062448217,51678901.1129039
2021-10-19 01:00:00 UTC,61924.2151598698,45071338.9365126
2021-10-19 02:00:00 UTC,61893.1159831532,30328835.6286609
2021-10-19 03:00:00 UTC,62653.3472939501,134541509.868112
2021-10-19 04:00:00 UTC,62672.0099003093,42075211.5432992
2021-10-19 05:00:00 UTC,62496.5530076163,26347417.8424057
2021-10-19 06:00:00 UTC,62319.5268167718,40165217.8246523
2021-10-19 07:00:00 UTC,62215.4721184095,26657733.8759174
2021-10-19 08:00:00 UTC,62153.2486948075,48328134.4440949
2021-10-19 09:00:00 UTC,62275.8588450536,44092881.8205187
2021-10-19 10:00:00 UTC,62288.5440480071,29359780.320798
2021-10-19 11:00:00 UTC,62278.0348151027,26925219.0118616
2021-10-19 12:00:00 UTC,62318.1520234058,47019202.0571539
2021-10-19 13:00:00 UTC,62834.7512082237,321931171.956162
2021-10-19 14:00:00 UTC,62193.3280406136,210675622.501803
2021-10-19 15:00:00 UTC,62677.8861753098,91077870.5186334
2021-10-19 16:00:00 UTC,62819.6067261411,101872510.251344
2021-10-19 17:00:00 UTC,63375.8864749068,150660315.792487
2021-10-19 18:00:00 UTC,63443.3625456596,113680517.113123
2021-10-19 19:00:00 UTC,63928.0591060453,242923916.453615
2021-10-19 20:00:00 UTC,64237.3894506021,123548304.142389
2021-10-19 21:00:00 UTC,64048.1687680852,110752482.812368
2021-10-19 22:00:00 UTC,64130.7064615704,77753122.9403641
2021-10-19 23:00:00 UTC,64312.3061734081,90180855.8296485
2021-10-20 00:00:00 UTC,64200.2497858076,49715765.7282303
2021-10-20 01:00:00 UTC,64067.3118373314,54792814.1976388
2021-10-20 02:00:00 UTC,63910.6985865468,34526781.6229779
2021-10-20 03:00:00 UTC,63980.222153625,34588801.4873909
2021-10-20 04:00:00 UTC,63991.4614394143,34462669.9054444
2021-10-20 05:00:00 UTC,63867.4334855146,41347655.9938673
2021-10-20 06:00:00 UTC,63947.9437309865,32558618.5397441
2021-10-20 07:00:00 UTC,64006.3544155492,25158050.2304644
2021-10-20 08:00:00 UTC,64147.4642558488,25307907.9423572
2021-10-20 09:00:00 UTC,64056.5693916266,27318798.9718925
2021-10-20 10:00:00 UTC,63988.9461335598,31057280.8093879
2021-10-20 11:00:00 UTC,61174.6151035707,31517994.4306097
2021-10-20 12:00:00 UTC,64273.3762695838,98376391.0587579
2021-10-20 13:00:00 UTC,65294.4963732342,407064896.518602
2021-10-20 14:00:00 UTC,66394.4549569225,405412892.70282
2021-10-20 15:00:00 UTC,66670.5735771127,220292906.792957
2021-10-20 16:00:00 UTC,66628.6559959034,183170103.438624
2021-10-20 17:00:00 UTC,66374.2426986534,147564877.965042
2021-10-20 18:00:00 UTC,67012.7192314281,102652864.457264
2021-10-20 19:00:00 UTC,66497.464255748,111696241.594846
2021-10-20 20:00:00 UTC,65981.0749433263,145065585.716799
2021-10-20 21:00:00 UTC,65900.0981097428,62716201.7864138
2021-10-20 22:00:00 UTC,65901.5491702141,60897747.5726546
2021-10-20 23:00:00 UTC,66086.4685324006,60397383.3631839
2021-10-21 00:00:00 UTC,65796.662983622,95994518.9019563
2021-10-21 01:00:00 UTC,65324.5089688355,181799525.926276
2021-10-21 02:00:00 UTC,64789.4014577004,270542517.159647
2021-10-21 03:00:00 UTC,64767.9033718617,111039392.27179
2021-10-21 04:00:00 UTC,64976.4583699502,90723512.9820279
2021-10-21 05:00:00 UTC,65024.5251379969,68748706.8958056
2021-10-21 06:00:00 UTC,64576.8004979182,168745863.163065
2021-10-21 07:00:00 UTC,64948.3330728272,56720234.5432265
2021-10-21 08:00:00 UTC,65721.8847905224,98635483.1745527
2021-10-21 09:00:00 UTC,66372.3469922317,81524012.5860733
2021-10-21 10:00:00 UTC,66031.9791182709,58180672.0199643
2021-10-21 11:00:00 UTC,64681.907170611,326890542.301795
2021-10-21 12:00:00 UTC,64865.0644778914,160311703.158403
2021-10-21 13:00:00 UTC,65253.3911181214,127741902.012169
2021-10-21 14:00:00 UTC,63971.5113388001,285289544.79493
2021-10-21 15:00:00 UTC,63085.2294964433,306815782.711813
2021-10-21 16:00:00 UTC,63214.8027287422,138614917.106761
2021-10-21 17:00:00 UTC,62978.3244003149,123663195.613458
2021-10-21 18:00:00 UTC,62923.918505018,86848811.5112305
2021-10-21 19:00:00 UTC,63149.5578092537,113825657.514209
2021-10-21 20:00:00 UTC,62717.4644479378,89838025.6887499
2021-10-21 21:00:00 UTC,62745.8015638289,53267286.9833464
2021-10-21 22:00:00 UTC,62806.2517473541,47596564.2603051
2021-10-21 23:00:00 UTC,62414.9156839953,53239056.4193363
2021-10-22 00:00:00 UTC,62606.3952543683,94717540.6054326
2021-10-22 01:00:00 UTC,62945.425693846,62695516.6558133
2021-10-22 02:00:00 UTC,62839.1929668107,27599243.0611984
2021-10-22 03:00:00 UTC,63196.1608756727,69143736.3568319
