Time,bit-x,bitbay,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,kraken
2021-10-18 15:00:00 UTC,28.8014917782675,3.49708719194324,0.00355495254670841,0.0319121277610002,0.0197334551979046,,0.0211627914217098,0.0100362320968643,0.00480444943414412
2021-10-18 16:00:00 UTC,28.8014917782675,,0.0058551881294019,0.0349148993696637,0.0194029981983005,,0.0229214327927856,0.01089195102847,0.00559839927301246
2021-10-18 17:00:00 UTC,28.8014917782675,3.45401773079986,0.00407338118566936,0.0313328145121684,0.0190250826017592,,0.0213661718207782,0.00896963243544908,0.00904649195303457
2021-10-18 18:00:00 UTC,35.9868241841107,,0.00360340074431238,0.0236278582273279,0.0101747429432243,,0.0227206075547251,0.00938275543859889,0.00163073583596357
2021-10-18 19:00:00 UTC,40.0,3.42147899855188,0.00430674674618298,0.0229422600373416,0.0148110177675678,,0.00961626863020615,0.0113902250039702,0.00241859950235898
2021-10-18 20:00:00 UTC,40.0,,0.0055612733407021,0.0301813477305821,0.0190570129504463,,0.0183033324268719,0.0121297082437392,0.00566349838065749
2021-10-18 21:00:00 UTC,40.0,3.5230658105939,0.00616947576274808,0.0286993739127564,0.0102406662720924,,0.0224676873156912,0.0129386856305426,0.00234241292753993
2021-10-18 22:00:00 UTC,40.0,,0.00418515928455395,0.0244646839742127,0.0131178949853984,,0.034753795056354,0.012394108218979,0.00439140904267242
2021-10-18 23:00:00 UTC,40.0,3.48534510433387,0.00295158404643863,0.0258858394076941,0.0139422421042404,,0.0215716914689416,0.0102858874399576,0.00359021606217403
2021-10-19 00:00:00 UTC,40.0,,0.00290115576735371,0.0395568333519701,0.0185197002303551,,0.0184693320288552,0.0133298491412199,0.000766717690109475
2021-10-19 01:00:00 UTC,40.0,3.45234349919743,0.00247127859233704,0.0301086460115599,0.0127653642954147,,0.0217733800805222,0.0138437498492018,0.00235788220411559
2021-10-19 02:00:00 UTC,40.0,,0.00251954581091443,0.0238376381502908,0.0103702229691469,,0.0218730750503134,0.011476948561485,0.00310020130075304
2021-10-19 03:00:00 UTC,40.0,4.8466782663714,0.00415091157648811,0.0364244103417409,0.0212687039960922,,0.0136558155552199,0.0117309783820812,0.00741053872483411
2021-10-19 04:00:00 UTC,40.0,,0.00248678057615594,0.0282463401512517,0.0101944589094433,,0.0138962649312238,0.0120924667573094,0.00438915952418974
2021-10-19 05:00:00 UTC,40.0,2.87473900664347,0.00272316824509111,0.0286641635758805,0.0146769893072313,,0.00853144464748208,0.0117571164660223,0.00285626152512818
2021-10-19 06:00:00 UTC,40.0,,0.002363903361114,0.0307414328055184,0.0162002464803227,,0.00911425403357867,0.0136452451440021,0.0045650087605791
2021-10-19 07:00:00 UTC,40.0,6.52230306864916,0.00259811204625726,0.0304860164128711,0.0136613241625588,,0.0141576240906513,0.00872676506810174,0.00361895063282277
2021-10-19 08:00:00 UTC,40.0,,0.00287751830294394,0.031214234636727,0.0246446612965326,,0.0114850360510962,0.0105027365486841,0.00283901565770547
2021-10-19 09:00:00 UTC,40.0,6.43142286065474,0.00342134706333006,0.0364529282909351,0.0122177873560169,,0.0158644426630528,0.0122662244921879,0.00539844011336295
2021-10-19 10:00:00 UTC,40.0,,0.00404147117048305,0.0336015621890089,0.0168920639024562,,0.0145357273217569,0.00938615572719311,0.00268040960339081
2021-10-19 11:00:00 UTC,40.0,6.39188824039755,0.00326257995034484,0.027044272553619,0.0120211844049263,,0.0211856710820518,0.0101316016933419,0.0017960457015696
2021-10-19 12:00:00 UTC,40.0,,0.00376659177941678,0.0306870469514359,0.0129970157988646,,0.0110035336011973,0.0104196227164351,0.00210477996432285
2021-10-19 13:00:00 UTC,40.0,5.13211598356525,0.00710438244801848,0.0416187767638461,0.0427759425737986,,0.0162974878275285,0.0163840572416548,0.0182426607881451
2021-10-19 14:00:00 UTC,40.0,,0.006147456611298,0.0484676184877988,0.0293894295582119,,0.0287762806640467,0.0179800874981142,0.0113440489252054
2021-10-19 15:00:00 UTC,40.0,5.12731837622894,0.00410735059119917,0.034418852638399,0.0206899098974856,,0.0113113120002862,0.0115229465647416,0.00095868783419705
2021-10-19 16:00:00 UTC,40.0,,0.00383169636759183,0.0288171075241637,0.0179000736371567,,0.0147896932897756,0.0111568704008989,0.0064836476927709
2021-10-19 17:00:00 UTC,40.0,5.11192660550459,0.00438090098209859,0.0344259143935107,0.0166118161571936,,0.0284637624568981,0.0156020127380975,0.00276601806142169
2021-10-19 18:00:00 UTC,40.0,,0.0045775642963415,0.0239587790307587,0.0219631781101721,,0.015139392034704,0.011507933536042,0.00344530961056195
2021-10-19 19:00:00 UTC,40.0,5.63240566037736,0.00483467732876356,0.0291394311056117,0.0228408697430516,,0.0204699546122717,0.0127470408880554,0.00495799172274212
2021-10-19 20:00:00 UTC,40.0,,0.00425425411151496,0.0260901932268535,0.0152536111756493,,0.0193942272055747,0.0130259952846565,0.00236162442983409
2021-10-19 21:00:00 UTC,40.0,3.64996114996115,0.0068177499171993,0.0250544162601835,0.0153783470283224,,0.00522952632403447,0.0171396036901883,0.00646286969846005
2021-10-19 22:00:00 UTC,40.0,,0.00410383729180008,0.0225218948868287,0.0185272882602234,,0.0194375107139685,0.00967575536292097,0.00333174194674055
2021-10-19 23:00:00 UTC,40.0,6.73608391608391,0.00554004546618991,0.0277230490093933,0.0132374764527386,,0.0245920367363114,0.0101503392864337,0.00465590999070426
